pg_operator,3,oprowner,oid
pg_operator,4,oprkind,"""char"""
pg_operator,5,oprcanmerge,boolean
pg_operator,6,oprcanhash,boolean
pg_operator,7,oprleft,oid
pg_operator,8,oprright,oid
pg_operator,9,oprresult,oid
pg_operator,10,oprcom,oid
pg_operator,11,oprnegate,oid
pg_operator,12,oprcode,regproc
pg_operator,13,oprrest,regproc
pg_operator,14,oprjoin,regproc
pg_opfamily,1,opfmethod,oid
pg_opfamily,2,opfname,name
pg_opfamily,3,opfnamespace,oid
pg_opfamily,4,opfowner,oid
pg_opclass,1,opcmethod,oid
pg_opclass,2,opcname,name
pg_opclass,3,opcnamespace,oid
pg_opclass,4,opcowner,oid
pg_opclass,5,opcfamily,oid
pg_opclass,6,opcintype,oid
pg_opclass,7,opcdefault,boolean
pg_opclass,8,opckeytype,oid
pg_am,1,amname,name
pg_am,2,amstrategies,smallint
pg_am,3,amsupport,smallint
pg_am,4,amcanorder,boolean
pg_am,5,amcanorderbyop,boolean
pg_am,6,amcanbackward,boolean
pg_am,7,amcanunique,boolean
pg_am,8,amcanmulticol,boolean
pg_am,9,amoptionalkey,boolean
pg_am,10,amsearcharray,boolean
pg_am,11,amsearchnulls,boolean
pg_am,12,amstorage,boolean
pg_am,13,amclusterable,boolean
pg_am,14,ampredlocks,boolean
pg_am,15,amkeytype,oid
pg_am,16,aminsert,regproc
pg_am,17,ambeginscan,regproc
pg_am,18,amgettuple,regproc
pg_am,19,amgetbitmap,regproc
pg_am,20,amrescan,regproc
pg_am,21,amendscan,regproc
pg_am,22,ammarkpos,regproc
pg_am,23,amrestrpos,regproc
pg_am,24,ambuild,regproc
pg_am,25,ambuildempty,regproc
pg_am,26,ambulkdelete,regproc
pg_am,27,amvacuumcleanup,regproc
pg_am,28,amcanreturn,regproc
pg_am,29,amcostestimate,regproc
pg_am,30,amoptions,regproc
pg_amop,1,amopfamily,oid
pg_amop,2,amoplefttype,oid
pg_amop,3,amoprighttype,oid
pg_amop,4,amopstrategy,smallint
pg_amop,5,amoppurpose,"""char"""
pg_amop,6,amopopr,oid
pg_amop,7,amopmethod,oid
pg_amop,8,amopsortfamily,oid
pg_amproc,1,amprocfamily,oid
pg_amproc,2,amproclefttype,oid
pg_amproc,3,amprocrighttype,oid
pg_amproc,4,amprocnum,smallint
pg_amproc,5,amproc,regproc
